Nombre,,Latitud,Longitud
7 Eleven 16 de septiembre,,20.6747802,-103.4915849
7 Eleven Sucursal 1133 Fresnos,,20.6760123,-103.5932741
7 Eleven Col Guadalajara,,20.671114,-103.4912961
7 Eleven Cal Federalismo,,20.7151898,-103.4990648
7 Eleven Anillo Perif,,20.5979579,-103.5355718
7 Eleven Jose maria morelos,,20.7110299,-103.5240105
7 Eleven Los Tulipanes,,20.5870316,-103.5889994
7 Eleven Frac Las Tortugas,,20.7287635,-103.7580101
7 Eleven Manuel Avila,,20.7067721,-103.5099407
7 Eleven Col Jardines,,20.7029084,-103.6049407
7 Eleven  San Juan De Dios,,20.6766033,-103.4834544
7 Eleven El Salto,,20.5656658,-103.4416729
7 Eleven Las Aguilas,,20.623032,-103.559449
7 Eleven Anexo Cal,,20.7223055,-103.6399762
Seven Eleven Agua Marina,,20.597785,-103.5817132